id_knjige,naslov,avtor,povp_ocena,st_ocen,st_recenzij,leto_izdaje,st_strani,jezik,st_trenutnih_bralcev,zanri
58613224,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,4027023,96378,2007,784,English,52841,"Fantasy, Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure, Middle Grade, Classics, Science Fiction Fantasy"
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,9649908,253738,2008,374,English,104020,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure, Audiobook, Book Club, Teen"
77203,The Kite Runner,Khaled Hosseini,4.35,3418413,110251,2003,371,English,50245,"Fiction, Historical Fiction, Classics, Contemporary, Book Club, Novels, Historical, School, Literature, Adult"
19063,The Book Thief,Markus Zusak,4.39,2815021,157168,2006,592,English,99785,"Historical Fiction, Fiction, Young Adult, Classics, Historical, Book Club, War, World War II, Holocaust, Audiobook"
58613345,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3579983,67597,2005,672,English,52192,"Fantasy, Fiction, Young Adult, Magic, Audiobook, Childrens, Adventure, Middle Grade, Classics, Science Fiction Fantasy"
58613451,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3709438,74754,2003,896,English,85923,"Fantasy, Young Adult, Fiction, Magic, Audiobook, Childrens, Adventure, Middle Grade, Classics, Science Fiction Fantasy"
4667024,The Help,Kathryn Stockett,4.47,2972171,93428,2009,464,English,24949,"Fiction, Historical Fiction, Book Club, Historical, Classics, Adult, Adult Fiction, Contemporary, Audiobook, Chick Lit"
128029,A Thousand Splendid Suns,Khaled Hosseini,4.45,1692128,89730,2007,372,English,40655,"Fiction, Historical Fiction, Book Club, Contemporary, Historical, Classics, Novels, War, Middle East, Literary Fiction"
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.35,4039876,148004,2009,391,English,59250,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure, Audiobook, Teen, Post Apocalyptic"
4214,Life of Pi,Yann Martel,3.94,1732924,56412,2006,460,English,27450,"Fiction, Fantasy, Classics, Book Club, Adventure, Magical Realism, Novels, Literature, Philosophy, Literary Fiction"
2429135,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,3390671,82355,2008,480,English,1022,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Book Club, Suspense, Contemporary, Audiobook, Adult"
18619684,The Time Traveler's Wife,Audrey Niffenegger,4.0,1845898,56128,2013,537,English,15450,"Fiction, Romance, Fantasy, Time Travel, Science Fiction, Book Club, Contemporary, Adult, Chick Lit, Magical Realism"
11870085,The Fault in Our Stars,John Green,4.12,5605684,186130,2012,313,English,67816,"Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Book Club, Coming Of Age, Teen, Novels, Drama"
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.93,2483497,58681,2003,489,English,26109,"Fiction, Mystery, Thriller, Mystery Thriller, Historical Fiction, Suspense, Adventure, Crime, Novels, Adult"
6288,The Road,Cormac McCarthy,4.0,1007625,69645,2006,241,English,21136,"Fiction, Science Fiction, Dystopia, Classics, Post Apocalyptic, Horror, Book Club, Literature, Novels, Audiobook"
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1574488,60398,2004,226,English,17317,"Fiction, Mystery, Young Adult, Contemporary, Book Club, Classics, Autistic Spectrum Disorder, Novels, School, Psychology"
43641,Water for Elephants,Sara Gruen,4.11,1684394,64634,2007,368,English,16253,"Fiction, Historical Fiction, Romance, Book Club, Historical, Adult, Adult Fiction, Contemporary, Audiobook, Novels"
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.11,3618743,151923,2010,390,English,51291,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure, Audiobook, Teen, Post Apocalyptic"
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3353960,115430,2005,377,English,63735,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Percy Jackson, Adventure, Greek Mythology, Childrens, Audiobook"
2187,Middlesex,Jeffrey Eugenides,4.04,658341,27907,2002,529,English,13169,"Fiction, Historical Fiction, Book Club, Contemporary, LGBT, Classics, Literary Fiction, Queer, Novels, Literature"
12232938,The Lovely Bones,Alice Sebold,3.86,2443692,49109,2006,372,English,16738,"Fiction, Mystery, Young Adult, Contemporary, Fantasy, Thriller, Crime, Book Club, Mystery Thriller, Adult"
13335037,"Divergent (Divergent, #1)",Veronica Roth,4.13,4303443,126166,2012,487,English,46796,"Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Romance, Teen, Audiobook, Book Club, Action"
41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.67,7155892,143653,2006,498,English,61378,"Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance, Supernatural, Urban Fantasy, Teen"
6867,Atonement,Ian McEwan,3.95,554229,25988,2003,351,English,13774,"Fiction, Historical Fiction, Classics, Romance, Historical, Book Club, War, Literary Fiction, Contemporary, Literature"
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.3,701181,57998,2005,487,English,35491,"Fiction, Historical Fiction, Mystery, Fantasy, Book Club, Books About Books, Historical, Spain, Magical Realism, Spanish Literature"
30165203,American Gods,Neil Gaiman,4.1,981168,49748,2011,635,English,46074,"Fantasy, Fiction, Mythology, Urban Fantasy, Audiobook, Science Fiction, Science Fiction Fantasy, Adult, Book Club, Contemporary"
58913358,A Story of Yesterday,Sergio Cobo,4.53,17119,633,2021,70,English,641,"Thriller, Mystery, Spanish Literature, European Literature, Fiction, Magical Realism, Crime, Short Stories, Drama, Book Club"
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2135496,80732,2007,485,English,38180,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Fiction, Vampires, Supernatural, Young Adult Fantasy, Magic"
7445,The Glass Castle,Jeannette Walls,4.32,1332054,70208,2006,288,English,23531,"Nonfiction, Memoir, Book Club, Biography, Biography Memoir, Autobiography, Audiobook, Adult, School, Classics"
